DF0000001	MIR
DF0000002	AluY
DF0000003	AluSc
DF0000004	Tigger3a
DF0000005	THE1A
DF0000006	Helitron1Na_Mam
DF0000007	AluJb
DF0000008	L1M5_orf2
DF0000010	L1MC4_3end
DF0000011	7SK
DF0000012	5S
DF0000013	ACRO1
DF0000014	ALRa
DF0000015	ALRb
DF0000016	7SLRNA
DF0000017	Harlequin
DF0000018	Charlie1
DF0000019	Charlie2a
DF0000020	Charlie2b
DF0000021	Charlie1a
DF0000022	Charlie1b
DF0000023	Charlie3
DF0000024	Charlie4
DF0000025	Charlie4a
DF0000026	Charlie4z
DF0000027	Charlie5
DF0000028	Tigger16a
DF0000029	ALR
DF0000034	AluJo
DF0000035	AluJr
DF0000036	AluJr4
DF0000037	AluSc5
DF0000038	AluSc8
DF0000039	AluSg
DF0000040	AluSg4
DF0000041	AluSg7
DF0000042	AluSp
DF0000043	AluSq
DF0000044	AluSq10
DF0000045	AluSq2
DF0000046	AluSq4
DF0000047	AluSx
DF0000048	AluSx1
DF0000049	AluSx3
DF0000050	AluSx4
DF0000051	AluSz
DF0000052	AluSz6
DF0000053	AluYa5
DF0000054	AluYa8
DF0000055	AluYb8
DF0000056	AluYb9
DF0000057	AluYc
DF0000058	AluYc3
DF0000060	AluYd8
DF0000063	AluYh9
DF0000064	AluYk11
DF0000065	AluYk12
DF0000066	AluYk4
DF0000067	AmnSINE1
DF0000068	AmnSINE2
DF0000069	Arthur1
DF0000070	Arthur1A
DF0000071	Arthur1B
DF0000072	Arthur1C
DF0000073	BC200
DF0000074	BLACKJACK
DF0000075	BSR
DF0000076	BSRa
DF0000077	BSRb
DF0000078	BSRd
DF0000079	BSRf
DF0000080	Chap1_Mam
DF0000081	Charlie10
DF0000082	Charlie10a
DF0000083	Charlie10b
DF0000084	Charlie11
DF0000085	Charlie12
DF0000086	Charlie13a
DF0000087	Charlie13b
DF0000088	Charlie14a
DF0000089	Charlie15a
DF0000090	Charlie15b
DF0000091	Charlie16a
DF0000092	Charlie17
DF0000093	Charlie17a
DF0000094	Charlie17b
DF0000095	Charlie18a
DF0000096	Charlie19a
DF0000097	Charlie20a
DF0000098	Charlie21a
DF0000099	Charlie22a
DF0000100	Charlie23a
DF0000101	Charlie24
DF0000102	Charlie25
DF0000103	Charlie26a
DF0000104	Charlie29a
DF0000105	Charlie6
DF0000106	Charlie7a
DF0000107	Charlie8
DF0000108	Charlie9
DF0000109	Cheshire
DF0000110	CR1_Mam
DF0000111	D20S16
DF0000113	DNA1_Mam
DF0000114	ERV24B_Prim
DF0000115	ERV24_Prim
DF0000116	ERV3-16A3_I
DF0000117	ERV3-16A3_LTR
DF0000118	ERVL
DF0000119	ERVL47
DF0000120	ERVL-E
DF0000121	Eulor1
DF0000122	Eulor10
DF0000123	Eulor11
DF0000124	Eulor12
DF0000125	Eulor2A
DF0000126	Eulor2B
DF0000127	Eulor2C
DF0000128	Eulor3
DF0000129	Eulor4
DF0000130	Eulor5A
DF0000131	Eulor5B
DF0000132	Eulor6A
DF0000133	Eulor6B
DF0000134	Eulor6C
DF0000135	Eulor6D
DF0000136	Eulor6E
DF0000137	Eulor7
DF0000138	Eulor8
DF0000139	Eulor9A
DF0000140	Eulor9B
DF0000141	Eulor9C
DF0000142	FAM
DF0000143	FLAM_A
DF0000144	FLAM_C
DF0000145	FordPrefect
DF0000146	FordPrefect_a
DF0000147	FRAM
DF0000148	GSAT
DF0000150	GSATII
DF0000152	GSATX
DF0000154	HAL1
DF0000155	HAL1b
DF0000156	HAL1M8
DF0000157	HAL1ME
DF0000158	Helitron1Nb_Mam
DF0000159	Helitron2Na_Mam
DF0000160	Helitron3Na_Mam
DF0000161	HERV15
DF0000162	HERV16
DF0000163	HERV1_I
DF0000164	HERV1_LTRa
DF0000165	HERV1_LTRb
DF0000166	HERV1_LTRc
DF0000167	HERV1_LTRd
DF0000168	HERV1_LTRe
DF0000169	HERV3
DF0000170	HERV30
DF0000171	HERV35I
DF0000172	HERV4_I
DF0000173	HERV9
DF0000174	HERVE
DF0000175	HERVE_a
DF0000176	HERV-Fc1
DF0000177	HERV-Fc1_LTR1
DF0000178	HERV-Fc1_LTR3
DF0000179	HERV-Fc2
DF0000180	HERV-Fc2_LTR
DF0000181	HERVFH19
DF0000182	HERVFH21
DF0000183	HERVH
DF0000184	HERVH48
DF0000185	HERVI
DF0000186	HERVIP10F
DF0000187	HERVIP10FH
DF0000188	HERVK
DF0000189	HERVK11
DF0000190	HERVK11D
DF0000191	HERVK13
DF0000192	HERVK14
DF0000193	HERVK14C
DF0000194	HERVK22
DF0000195	HERVK3
DF0000196	HERVK9
DF0000197	HERVKC4
DF0000198	HERVL
DF0000199	HERVL18
DF0000200	HERVL32
DF0000201	HERVL40
DF0000202	HERVL66
DF0000203	HERVL74
DF0000204	HERVP71A
DF0000205	HERVS71
DF0000206	HSAT4
DF0000207	HSAT5
DF0000209	HSAT6
DF0000210	HSATI
DF0000211	HSATII
DF0000212	HSMAR1
DF0000213	HSMAR2
DF0000214	HUERS-P1
DF0000215	HUERS-P2
DF0000216	HUERS-P3
DF0000217	HUERS-P3b
DF0000218	Kanga1
DF0000219	Kanga11a
DF0000220	Kanga1a
DF0000221	Kanga1b
DF0000222	Kanga1c
DF0000223	Kanga1d
DF0000224	Kanga2_a
DF0000225	L1HS_3end
DF0000226	L1HS_5end
DF0000227	L1M1_5end
DF0000228	L1M1_orf2
DF0000229	L1M2_5end
DF0000230	L1M2a1_5end
DF0000231	PABL_A
DF0000232	L1M2a_5end
DF0000233	L1M2b_5end
DF0000234	L1M2c_5end
DF0000235	PABL_A-int
DF0000236	L1M2_orf2
DF0000237	L1M3a_5end
DF0000238	L1M3b_5end
DF0000239	L1M3c_5end
DF0000240	L1M3d_5end
DF0000241	L1M3de_5end
DF0000242	L1M3e_5end
DF0000243	L1M3f_5end
DF0000244	L1M3_orf2
DF0000245	L1M4_5end
DF0000246	L1M4a1_5end
DF0000247	L1M4a2_5end
DF0000248	L1M4b_5end
DF0000249	L1M4c_5end
DF0000250	L1M4_orf2
DF0000251	L1M6_5end
DF0000252	L1M6B_5end
DF0000253	L1M7_5end
DF0000254	L1M8_5end
DF0000255	L1MA10_3end
DF0000256	L1MA1_3end
DF0000257	L1MA2_3end
DF0000258	L1MA3_3end
DF0000259	L1MA4_3end
DF0000260	L1MA4A_3end
DF0000261	L1MA5_3end
DF0000262	L1MA5A_3end
DF0000263	L1MA6_3end
DF0000264	L1MA7_3end
DF0000265	L1MA8_3end
DF0000266	L1MA9_3end
DF0000267	L1MB1_3end
DF0000268	L1MB2_3end
DF0000269	L1MB3_3end
DF0000270	L1MB4_3end
DF0000271	L1MB4_5end
DF0000272	L1MB5_3end
DF0000273	L1MB7_3end
DF0000274	L1MB8_3end
DF0000275	L1MC1_3end
DF0000276	L1MC2_3end
DF0000277	L1MC3_3end
DF0000278	L1MC4_5end
DF0000279	L1MC4a_3end
DF0000280	L1MC5_3end
DF0000281	L1MC5a_3end
DF0000282	L1MCa_5end
DF0000283	L1MCb_5end
DF0000284	L1MCc_5end
DF0000285	L1MC_orf2
DF0000286	L1MD1_3end
DF0000287	L1MD2_3end
DF0000288	L1MD2_5end
DF0000289	L1MD3_3end
DF0000290	L1MDa_5end
DF0000291	L1MDb_5end
DF0000292	L1MD_orf2
DF0000293	L1ME1_3end
DF0000294	L1ME2_3end
DF0000295	L1ME2z_3end
DF0000296	L1ME3_3end
DF0000297	L1ME3A_3end
DF0000298	L1ME3B_3end
DF0000299	L1ME3C_3end
DF0000300	L1ME3E_3end
DF0000301	L1ME3F_3end
DF0000302	L1ME3G_3end
DF0000303	L1ME4a_3end
DF0000304	L1ME4b_3end
DF0000305	L1ME4c_3end
DF0000306	L1ME5_3end
DF0000307	L1MEa_5end
DF0000308	L1MEf_5end
DF0000309	L1MEg1_5end
DF0000310	L1MEg2_5end
DF0000311	L1MEg_5end
DF0000312	L1MEh_5end
DF0000313	L1MEi_5end
DF0000314	L1MEj_5end
DF0000315	L1P1_5end
DF0000316	L1P1_orf2
DF0000317	L1P2_5end
DF0000318	L1P3_5end
DF0000319	L1P3b_5end
DF0000320	L1P3_orf2
DF0000321	L1P4a_5end
DF0000322	L1P4b_5end
DF0000323	L1P4c_5end
DF0000324	L1P4d_5end
DF0000325	L1P4e_5end
DF0000326	L1P4_orf2
DF0000327	L1PA10_3end
DF0000328	L1PA10_5end
DF0000329	L1PA11_3end
DF0000330	L1PA12_3end
DF0000331	L1PA13_3end
DF0000332	L1PA13_5end
DF0000333	L1PA14_3end
DF0000334	L1PA15-16_5end
DF0000335	L1PA15_3end
DF0000336	L1PA16_3end
DF0000337	L1PA17_3end
DF0000338	L1PA17_5end
DF0000339	L1PA2_3end
DF0000340	L1PA3_3end
DF0000341	L1PA4_3end
DF0000342	L1PA5_3end
DF0000343	L1PA6_3end
DF0000344	L1PA7_3end
DF0000345	L1PA8_3end
DF0000346	L1PA8A_3end
DF0000347	L1PB1_3end
DF0000348	L1PB2_3end
DF0000349	L1PB3_3end
DF0000350	L1PB4_3end
DF0000351	L1PBa1_5end
DF0000352	L1PBa_5end
DF0000353	L1PBb_5end
DF0000354	L1PB_orf2
DF0000355	L1PREC2_3end
DF0000356	L1PREC2_5end
DF0000357	L1PREC2_orf2
DF0000358	L2
DF0000359	L2a_3end
DF0000360	L2b_3end
DF0000361	L2c_3end
DF0000362	L3
DF0000363	L3b_3end
DF0000364	L4_A_Mam
DF0000365	L4_B_Mam
